05,11,22
ANN,ANT,APT,ARE,03,04,19,01,00,00,00,00,00
BOT,BUG,___,___,05,02,00,00,00,00,00,00,00
AND,ART,BEG,BUN,09,07,43,44,18,01,09,02,06
EEK,EGG,FAN,FAT,22,69,16,48,00,00,00,00,00
DVD,FIT,HAT,___,26,11,59,00,17,04,12,22,00
CAM,CAT,___,___,20,21,00,00,00,00,00,00,00
NOT,ONE,OWN,RAM,49,66,13,27,00,00,00,00,00
INK,ITS,JAM,___,37,60,14,00,00,00,00,00,00
BAM,BAT,___,___,42,41,00,00,00,00,00,00,00
JET,RAT,___,___,17,35,00,00,08,07,21,00,00
CON,IMP,SAT,___,18,10,06,00,03,05,10,14,00
GET,GIG,GOT,HAM,15,24,58,68,00,00,00,00,00
WEB,WOW,WWW,YES,55,54,33,61,00,00,00,00,00
TON,USE,WAN,YOU,65,64,31,30,15,16,20,13,19
SUN,SYS,TAN,THE,51,38,39,08,00,00,00,00,00
TWO,USA,___,___,34,29,00,00,00,00,00,00,00
CPU,DAT,DIP,DOG,47,23,70,46,00,00,00,00,00
ALL,AMY,___,___,40,45,00,00,00,00,00,00,00
YUP,ZAK,ZEN,ZIP,56,63,32,62,00,00,00,00,00
VAT,VEG,___,___,52,53,00,00,00,00,00,00,00
RED,ROM,SAM,___,50,28,36,00,00,00,00,00,00
HIP,HOP,HOT,ICE,25,57,12,67,00,00,00,00,00
